f1_macro	f1_micro	f1_weighted	f1_samples	precision_macro	precision_micro	precision_weighted	precision_samples	recall_macro	recall_micro	recall_weighted	recall_samples	jaccard_macro	jaccard_micro	jaccard_weighted	jaccard_samples	accuracy	fold	level	tn	fp	fn	tp
0.06468361717223196	0.0853631284916201	0.10751749963367757	0.028818006118314022	0.07754318486338213	0.06755083996463307	0.20408114462195967	0.018270802782309716	0.10309336679709506	0.11593323216995448	0.11593323216995448	0.11548333333333333	0.03795048386177557	0.04458450046685341	0.06232284696027531	0.016841289928084684	0.002	1	3	721170	29624	2117	567
0.0642104128825029	0.07767170266011679	0.11300718843069245	0.02706713432366454	0.07015394802156272	0.0559113957832933	0.21086223761277587	0.017213678276688255	0.11404552711932538	0.12716236722306526	0.12716236722306526	0.1267333333333333	0.037537652443926796	0.04040501446480232	0.065311944288808	0.01541510927347717	0.002	1	4	715830	34964	2101	583
0.0648763191078007	0.07614533965244866	0.1239568833565953	0.028777735789603583	0.06357434695033365	0.05146823278163374	0.201647565771628	0.01958267760477214	0.13163628626501672	0.14628224582701063	0.14628224582701063	0.1449	0.037487529681114455	0.0395795697158811	0.07114035998195041	0.016443421689327057	0.002	1	5	711250	39544	2080	604
0.061899705991652336	0.07152564194263644	0.12340105058823965	0.025498805595702775	0.05909716316961662	0.046790192775594236	0.1918610443452497	0.015058375931258463	0.1318733775225941	0.15174506828528073	0.15174506828528073	0.15023333333333333	0.03547132416017985	0.037089236703508645	0.07034972659130029	0.014277591091283185	0.002	1	6	707539	43255	2070	614
0.05711641282712141	0.06633923164906143	0.11681874550403057	0.023480850450655594	0.054239740442341124	0.04261756569847856	0.18593868641156858	0.0139411137884929	0.13094366996437465	0.1496206373292868	0.1496206373292868	0.1474	0.03211569444287817	0.03430758524704245	0.06558143447672891	0.013108886415526946	0.002	1	7	704352	46442	2061	623
0.05497385286818936	0.06323454266734799	0.11693449771601792	0.021883200272417438	0.05308870369522547	0.040045303778011486	0.19212284632146426	0.01287665721689562	0.13055387034547597	0.15022761760242792	0.15022761760242792	0.14798333333333336	0.03070266490078145	0.032649561374579514	0.06539931146333897	0.012094316813247736	0.002	1	8	701940	48854	2052	632
0.05460202229117619	0.0639005712133576	0.12454913789087313	0.03442143395358421	0.052187693456441905	0.04028173472617917	0.1851063687838722	0.0420163317297899	0.1286138862386053	0.1544764795144158	0.1544764795144158	0.15268333333333334	0.0304212485215525	0.03300479834003372	0.06987324772184551	0.02073248886939505	0.003	1	9	699738	51056	2044	640
0.011589000611088378	0.022880610149603988	0.014395906977247625	0.011692929292929293	0.016995090424409793	0.34210526315789475	0.02142148443362404	0.013553571428571427	0.009470393615624665	0.011836115326251897	0.011836115326251897	0.01278333333333333	0.0068567645269215945	0.011572700296735905	0.008611359303316815	0.008347619047619048	0.002	2	0	745787	5007	2289	350
0.04242382005596157	0.08556394417753375	0.061731211533847995	0.03216676972837963	0.07442840839512457	0.1737918215613383	0.20407265438118352	0.03045902553329024	0.04921659557426364	0.05675265553869499	0.05675265553869499	0.05714999999999999	0.025175780228219362	0.044694072657743784	0.036131685392369085	0.02138771946577674	0.002	2	1	737309	13485	2143	496
0.055944990015339015	0.09388419961498592	0.09737985510117311	0.04249004295812907	0.07282117177079003	0.09167148640832852	0.19667142971501034	0.04983109283566404	0.07794138407868996	0.09620637329286798	0.09620637329286798	0.09731666666666666	0.03257187041591785	0.04925419515226849	0.05593983696349209	0.02636081714344956	0.003	2	2	726873	23921	2078	561
0.06685570508949079	0.09010581433402423	0.11910726144570681	0.04763011772406161	0.07335341728397057	0.07033378746594006	0.18536392390873582	0.05784431432724914	0.10621316310897758	0.12534142640364188	0.12534142640364188	0.12635	0.03903603759615539	0.04717843271647247	0.06883879840439507	0.02978453030364792	0.004	2	3	719295	31499	2050	589
0.06472563448315045	0.08222084696313324	0.12405024720439282	0.04718637458149739	0.06247569712965541	0.05800898203592814	0.17198139829907813	0.05646361090096337	0.12065525245108621	0.1411229135053111	0.1411229135053111	0.14143333333333333	0.03775223377312263	0.04287294855246174	0.07186560802624983	0.02910563261435537	0.004	2	4	713873	36921	2036	603
0.06212499579460946	0.07553132653867425	0.12524952992377858	0.04363609531852359	0.059442019346217345	0.0510574663533433	0.17664762936978873	0.05202651257347542	0.12165067476110007	0.14506828528072838	0.14506828528072838	0.14584999999999998	0.036092126107129655	0.03924788570490188	0.07225245712202749	0.026518255541455163	0.004	2	5	709851	40943	2025	614
0.06227752011816695	0.07336104426456648	0.12825420387418032	0.045507904083882576	0.05780065999883364	0.04828181992704934	0.17575031760493562	0.05641506931459986	0.1276990692920363	0.1526555386949924	0.1526555386949924	0.15276666666666666	0.03620219788293602	0.038077214231642696	0.07390279481008319	0.02779654557296738	0.004	2	6	706785	44009	2013	626
0.05961723138906899	0.06947785481816895	0.12422786751135198	0.03998970898685216	0.05541742759570236	0.04529938186179537	0.17450219622782698	0.05096760183941154	0.12444620501167657	0.14901365705614567	0.14901365705614567	0.14926666666666666	0.0346694747931726	0.03598915194605292	0.07129734706223666	0.024023416732779426	0.003	2	7	704346	46448	2006	633
0.05611579462304014	0.06539621606800111	0.11783840897433547	0.036262266717878584	0.05090694076681093	0.04223855485699106	0.16446884878945414	0.0461934497408699	0.12226389256308695	0.14476479514415783	0.14476479514415783	0.14501666666666665	0.03213772082977977	0.03380341577492736	0.0669663054655544	0.0216623481119089	0.003	2	8	702015	48779	2003	636
0.05401284665032508	0.06339254615116684	0.11526879671361229	0.03626639551368552	0.04952178372024379	0.04113924050632911	0.1614696938812885	0.046973790277673254	0.11677441311276039	0.13808801213960548	0.13808801213960548	0.14001666666666665	0.030377823062313236	0.03273381294964029	0.06475476035953337	0.021944764184921094	0.003	2	9	699864	50930	1995	644
0.00900901566933167	0.01772525849335303	0.011753858678291054	0.008970634920634922	0.02268328659653445	0.3333333333333333	0.031314951665515664	0.009349999999999999	0.007308298917108386	0.009104704097116844	0.009104704097116844	0.01025	0.00519956674575423	0.00894187779433681	0.006820025886282884	0.0060952380952380945	0.002	3	0	745854	4940	2259	340
