dataset	estimator	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
scene	embedding_weak	156.25 (3.0)	0.76 (0.09)	0.0 (0.0)	4.46 (0.62)	0.84 (0.17)	0.4 (0.55)	<b>0.52 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.65 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.65 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.02)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.64 (0.03)</b>	<b>0.48 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.5 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.48 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.02)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.84 (0.03)</b>	<b>0.52 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.84 (0.03)</b>	<b>0.64 (0.26)</b>	<b>0.0 (0.0)</b>	<b>0.57 (0.02)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.83 (0.03)</b>	<b>0.6 (0.32)</b>	<b>0.2 (0.45)</b>	<b>0.54 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.53 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.02)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.53 (0.03)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>
scene	embedding_weak_chi2	164.4 (1.25)	1.0 (0.0)	1.0 (0.0)	<b>4.17 (0.23)</b>	<b>0.8 (0.14)</b>	<b>0.2 (0.45)</b>	<b>0.53 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.56 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.65 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.51 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.5 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.84 (0.02)</b>	<b>0.48 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.85 (0.02)</b>	<b>0.52 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.57 (0.02)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.83 (0.03)</b>	<b>0.48 (0.23)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.03)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>
scene	proba	<b>11.09 (0.11)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	<b>2.52 (0.1)</b>	<b>0.28 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.68 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.77 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.76 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.72 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.76 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.64 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.62 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.71 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.63 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.85 (0.01)</b>	<b>0.6 (0.2)</b>	<b>0.0 (0.0)</b>	<b>0.84 (0.01)</b>	<b>0.52 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.74 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.84 (0.01)</b>	<b>0.6 (0.2)</b>	<b>0.0 (0.0)</b>	<b>0.71 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.7 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.72 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.7 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>
scene	proba_weak	<b>14.56 (0.46)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	<b>2.48 (0.18)</b>	<b>0.32 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.68 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.77 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.76 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.72 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.76 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.63 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.61 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.71 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.62 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	0.84 (0.01)	0.4 (0.28)	0.0 (0.0)	0.83 (0.01)	0.32 (0.18)	0.0 (0.0)	<b>0.73 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	0.83 (0.01)	0.36 (0.22)	0.0 (0.0)	<b>0.71 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.7 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.72 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.7 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>
tmc2007_500	embedding	<b>957.84 (26.88)</b>	<b>0.64 (0.09)</b>	<b>0.0 (0.0)</b>	26.18 (2.79)	0.8 (0.2)	0.4 (0.55)	<b>0.14 (0.01)</b>	<b>0.56 (0.09)</b>	<b>0.0 (0.0)</b>	0.1 (0.0)	0.2 (0.0)	0.0 (0.0)	0.48 (0.0)	0.2 (0.0)	0.0 (0.0)	0.46 (0.01)	0.32 (0.18)	0.0 (0.0)	0.36 (0.01)	0.2 (0.0)	0.0 (0.0)	0.07 (0.0)	0.2 (0.0)	0.0 (0.0)	0.31 (0.0)	0.2 (0.0)	0.0 (0.0)	0.37 (0.01)	0.4 (0.2)	0.0 (0.0)	0.27 (0.01)	0.2 (0.0)	0.0 (0.0)	0.21 (0.03)	0.2 (0.0)	0.0 (0.0)	<b>0.69 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.66 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.54 (0.01)	0.2 (0.0)	0.0 (0.0)	0.09 (0.0)	0.2 (0.0)	0.0 (0.0)	0.36 (0.0)	0.2 (0.0)	0.0 (0.0)	0.39 (0.01)	0.2 (0.0)	0.0 (0.0)	0.36 (0.0)	0.2 (0.0)	0.0 (0.0)
tmc2007_500	embedding_weak	1028.02 (31.52)	0.96 (0.09)	0.8 (0.45)	26.82 (2.25)	0.84 (0.09)	0.2 (0.45)	0.12 (0.01)	0.24 (0.09)	0.0 (0.0)	<b>0.2 (0.01)</b>	<b>0.56 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.47 (0.0)	0.4 (0.14)	0.0 (0.0)	<b>0.41 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.13 (0.0)</b>	<b>0.56 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.32 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.37 (0.01)	0.4 (0.14)	0.0 (0.0)	<b>0.3 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.33 (0.01)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.6 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	0.62 (0.01)	0.28 (0.11)	0.0 (0.0)	<b>0.58 (0.01)</b>	<b>0.6 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.2 (0.01)</b>	<b>0.76 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.42 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.44 (0.01)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.42 (0.0)</b>	<b>0.48 (0.11)</b>	<b>0.0 (0.0)</b>
tmc2007_500	embedding_weak_chi2	1018.73 (35.12)	0.8 (0.14)	0.2 (0.45)	<b>26.21 (2.37)</b>	<b>0.76 (0.22)</b>	<b>0.4 (0.55)</b>	0.12 (0.01)	0.4 (0.14)	0.0 (0.0)	0.2 (0.0)	0.44 (0.09)	0.0 (0.0)	<b>0.49 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.47 (0.0)</b>	<b>0.48 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.41 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.13 (0.0)	0.44 (0.09)	0.0 (0.0)	<b>0.33 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.38 (0.0)	0.4 (0.2)	0.0 (0.0)	<b>0.3 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.32 (0.01)	0.4 (0.0)	0.0 (0.0)	<b>0.6 (0.01)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	0.62 (0.01)	0.36 (0.17)	0.0 (0.0)	0.57 (0.01)	0.4 (0.0)	0.0 (0.0)	<b>0.19 (0.01)</b>	<b>0.6 (0.14)</b>	<b>0.0 (0.0)</b>	<b>0.41 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.44 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>	<b>0.41 (0.0)</b>	<b>0.52 (0.11)</b>	<b>0.0 (0.0)</b>
tmc2007_500	proba	<b>125.86 (5.76)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	<b>9.3 (1.91)</b>	<b>0.36 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.24 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.22 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.62 (0.0)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.59 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.53 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.17 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.44 (0.0)</b>	<b>0.84 (0.09)</b>	<b>0.2 (0.45)</b>	<b>0.51 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.42 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.03)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.82 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.74 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.75 (0.03)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	0.18 (0.0)	0.44 (0.09)	0.0 (0.0)	<b>0.49 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.55 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.49 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>
tmc2007_500	proba_weak	<b>143.5 (8.42)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	<b>7.21 (0.42)</b>	<b>0.24 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.21 (0.0)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.44 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.62 (0.01)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.63 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.65 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.31 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.45 (0.01)</b>	<b>0.96 (0.09)</b>	<b>0.8 (0.45)</b>	<b>0.52 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.51 (0.0)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.42 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	0.56 (0.01)	0.2 (0.0)	0.0 (0.0)	<b>0.64 (0.01)</b>	<b>0.56 (0.09)</b>	<b>0.0 (0.0)</b>	<b>0.65 (0.01)</b>	<b>0.8 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.57 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.7 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.73 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>	<b>0.7 (0.01)</b>	<b>1.0 (0.0)</b>	<b>1.0 (0.0)</b>
yeast	embedding	160.95 (3.8)	0.88 (0.18)	0.6 (0.55)	<b>5.42 (0.62)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	0.16 (0.02)	0.68 (0.3)	0.4 (0.55)	0.32 (0.02)	0.32 (0.18)	0.0 (0.0)	0.62 (0.01)	0.36 (0.26)	0.0 (0.0)	0.59 (0.01)	0.44 (0.26)	0.0 (0.0)	0.53 (0.02)	0.32 (0.18)	0.0 (0.0)	0.24 (0.01)	0.32 (0.18)	0.0 (0.0)	0.45 (0.01)	0.36 (0.26)	0.0 (0.0)	0.48 (0.02)	0.44 (0.36)	0.2 (0.45)	<b>0.42 (0.01)</b>	<b>0.4 (0.24)</b>	<b>0.0 (0.0)</b>	0.56 (0.04)	0.68 (0.27)	0.2 (0.45)	<b>0.72 (0.02)</b>	<b>0.72 (0.18)</b>	<b>0.2 (0.45)</b>	<b>0.72 (0.02)</b>	<b>0.72 (0.18)</b>	<b>0.2 (0.45)</b>	0.7 (0.03)	0.76 (0.26)	0.4 (0.55)	0.3 (0.01)	0.36 (0.22)	0.0 (0.0)	0.54 (0.01)	0.36 (0.22)	0.0 (0.0)	0.54 (0.02)	0.32 (0.18)	0.0 (0.0)	0.54 (0.01)	0.36 (0.22)	0.0 (0.0)
yeast	embedding_weak	162.0 (4.75)	0.76 (0.17)	0.2 (0.45)	<b>5.42 (0.94)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	0.16 (0.02)	0.64 (0.26)	0.2 (0.45)	<b>0.32 (0.01)</b>	<b>0.4 (0.14)</b>	<b>0.0 (0.0)</b>	0.62 (0.01)	0.4 (0.14)	0.0 (0.0)	0.59 (0.01)	0.44 (0.17)	0.0 (0.0)	0.53 (0.01)	0.36 (0.09)	0.0 (0.0)	0.24 (0.01)	0.36 (0.09)	0.0 (0.0)	0.44 (0.01)	0.4 (0.14)	0.0 (0.0)	0.48 (0.01)	0.44 (0.17)	0.0 (0.0)	0.42 (0.01)	0.36 (0.17)	0.0 (0.0)	0.52 (0.05)	0.52 (0.23)	0.0 (0.0)	<b>0.73 (0.01)</b>	<b>0.8 (0.14)</b>	<b>0.2 (0.45)</b>	<b>0.73 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	0.68 (0.03)	0.6 (0.24)	0.0 (0.0)	<b>0.29 (0.01)</b>	<b>0.4 (0.14)</b>	<b>0.0 (0.0)</b>	<b>0.53 (0.02)</b>	<b>0.4 (0.14)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.02)</b>	<b>0.4 (0.14)</b>	<b>0.0 (0.0)</b>	<b>0.53 (0.02)</b>	<b>0.4 (0.14)</b>	<b>0.0 (0.0)</b>
yeast	embedding_weak_chi2	160.46 (5.11)	0.76 (0.17)	0.2 (0.45)	5.52 (0.64)	0.88 (0.18)	0.6 (0.55)	0.16 (0.01)	0.8 (0.2)	0.4 (0.55)	<b>0.33 (0.01)</b>	<b>0.48 (0.18)</b>	<b>0.0 (0.0)</b>	0.62 (0.01)	0.52 (0.23)	0.0 (0.0)	0.59 (0.02)	0.48 (0.3)	0.0 (0.0)	<b>0.54 (0.01)</b>	<b>0.52 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.24 (0.01)</b>	<b>0.52 (0.18)</b>	<b>0.0 (0.0)</b>	0.45 (0.01)	0.52 (0.23)	0.0 (0.0)	0.48 (0.01)	0.52 (0.27)	0.0 (0.0)	<b>0.42 (0.01)</b>	<b>0.52 (0.23)</b>	<b>0.0 (0.0)</b>	0.56 (0.06)	0.76 (0.26)	0.4 (0.55)	<b>0.73 (0.02)</b>	<b>0.88 (0.18)</b>	<b>0.6 (0.55)</b>	<b>0.73 (0.02)</b>	<b>0.76 (0.17)</b>	<b>0.2 (0.45)</b>	0.7 (0.04)	0.76 (0.33)	0.6 (0.55)	<b>0.3 (0.01)</b>	<b>0.44 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.44 (0.17)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.02)</b>	<b>0.48 (0.18)</b>	<b>0.0 (0.0)</b>	<b>0.54 (0.01)</b>	<b>0.44 (0.17)</b>	<b>0.0 (0.0)</b>
yeast	proba	<b>13.63 (0.68)</b>	<b>0.2 (0.0)</b>	<b>0.0 (0.0)</b>	<b>3.52 (0.22)</b>	<b>0.32 (0.11)</b>	<b>0.0 (0.0)</b>	0.15 (0.01)	0.36 (0.26)	0.0 (0.0)	<b>0.38 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	0.63 (0.01)	0.88 (0.11)	0.4 (0.55)	0.61 (0.01)	0.84 (0.17)	0.4 (0.55)	<b>0.57 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.28 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	0.46 (0.01)	0.88 (0.11)	0.4 (0.55)	0.5 (0.01)	0.8 (0.14)	0.2 (0.45)	<b>0.45 (0.01)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	0.49 (0.06)	0.4 (0.35)	0.2 (0.45)	0.68 (0.02)	0.32 (0.11)	0.0 (0.0)	0.69 (0.02)	0.28 (0.11)	0.0 (0.0)	0.64 (0.02)	0.32 (0.18)	0.0 (0.0)	<b>0.36 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.59 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.59 (0.03)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	<b>0.59 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>
yeast	proba_weak	<b>18.72 (0.8)</b>	<b>0.4 (0.0)</b>	<b>0.0 (0.0)</b>	<b>3.53 (0.25)</b>	<b>0.28 (0.11)</b>	<b>0.0 (0.0)</b>	0.14 (0.02)	0.52 (0.3)	0.0 (0.0)	<b>0.38 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	0.64 (0.01)	0.84 (0.22)	0.6 (0.55)	0.61 (0.02)	0.8 (0.28)	0.6 (0.55)	<b>0.58 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.28 (0.02)</b>	<b>0.92 (0.11)</b>	<b>0.6 (0.55)</b>	0.47 (0.01)	0.84 (0.22)	0.6 (0.55)	0.5 (0.02)	0.8 (0.28)	0.6 (0.55)	<b>0.45 (0.02)</b>	<b>0.8 (0.2)</b>	<b>0.4 (0.55)</b>	0.51 (0.06)	0.64 (0.3)	0.2 (0.45)	0.68 (0.02)	0.28 (0.11)	0.0 (0.0)	0.68 (0.02)	0.32 (0.11)	0.0 (0.0)	0.66 (0.03)	0.56 (0.26)	0.0 (0.0)	<b>0.37 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.6 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.6 (0.02)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>	<b>0.6 (0.01)</b>	<b>0.88 (0.11)</b>	<b>0.4 (0.55)</b>
