dataset	estimator	fit_score_time	fit_score_time_rank	fit_score_time_victories	fit_time	fit_time_rank	fit_time_victories	score_time	score_time_rank	score_time_victories	test_accuracy	test_accuracy_rank	test_accuracy_victories	test_f1_macro	test_f1_macro_rank	test_f1_macro_victories	test_f1_micro	test_f1_micro_rank	test_f1_micro_victories	test_f1_samples	test_f1_samples_rank	test_f1_samples_victories	test_f1_weighted	test_f1_weighted_rank	test_f1_weighted_victories	test_jaccard_macro	test_jaccard_macro_rank	test_jaccard_macro_victories	test_jaccard_micro	test_jaccard_micro_rank	test_jaccard_micro_victories	test_jaccard_samples	test_jaccard_samples_rank	test_jaccard_samples_victories	test_jaccard_weighted	test_jaccard_weighted_rank	test_jaccard_weighted_victories	test_precision_macro	test_precision_macro_rank	test_precision_macro_victories	test_precision_micro	test_precision_micro_rank	test_precision_micro_victories	test_precision_samples	test_precision_samples_rank	test_precision_samples_victories	test_precision_weighted	test_precision_weighted_rank	test_precision_weighted_victories	test_recall_macro	test_recall_macro_rank	test_recall_macro_victories	test_recall_micro	test_recall_micro_rank	test_recall_micro_victories	test_recall_samples	test_recall_samples_rank	test_recall_samples_victories	test_recall_weighted	test_recall_weighted_rank	test_recall_weighted_victories
all_datasets	proba__1	<b>0.11 (0.03)</b>	<b>0.11 (0.04)</b>	<b>0.0 (0.0)</b>	<b>0.11 (0.04)</b>	<b>0.11 (0.04)</b>	<b>0.0 (0.0)</b>	<b>0.11 (0.03)</b>	<b>0.1 (0.0)</b>	<b>0.0 (0.0)</b>	<b>0.61 (0.3)</b>	<b>0.69 (0.38)</b>	<b>0.38 (0.52)</b>	0.48 (0.27)	0.54 (0.43)	0.25 (0.46)	0.52 (0.28)	0.57 (0.39)	0.25 (0.46)	0.52 (0.29)	0.57 (0.4)	0.12 (0.35)	0.48 (0.28)	0.54 (0.42)	0.25 (0.46)	0.47 (0.26)	0.53 (0.4)	0.12 (0.35)	0.52 (0.28)	0.57 (0.39)	0.25 (0.46)	0.54 (0.3)	0.61 (0.43)	0.25 (0.46)	0.52 (0.29)	0.55 (0.39)	0.25 (0.46)	<b>0.61 (0.16)</b>	<b>0.65 (0.33)</b>	<b>0.12 (0.35)</b>	<b>0.74 (0.19)</b>	<b>0.83 (0.23)</b>	<b>0.5 (0.53)</b>	0.52 (0.32)	0.55 (0.42)	0.38 (0.52)	<b>0.67 (0.17)</b>	<b>0.72 (0.32)</b>	<b>0.38 (0.52)</b>	0.45 (0.29)	0.55 (0.43)	0.25 (0.46)	0.47 (0.29)	0.47 (0.43)	0.25 (0.46)	0.48 (0.3)	0.51 (0.45)	0.38 (0.52)	0.47 (0.29)	0.47 (0.43)	0.25 (0.46)
all_datasets	proba__10	0.99 (0.04)	0.99 (0.04)	0.88 (0.35)	0.99 (0.04)	0.99 (0.04)	0.88 (0.35)	1.0 (0.01)	1.0 (0.0)	1.0 (0.0)	0.37 (0.16)	0.26 (0.22)	0.0 (0.0)	0.42 (0.13)	0.29 (0.23)	0.0 (0.0)	0.43 (0.21)	0.36 (0.37)	0.12 (0.35)	0.47 (0.24)	0.39 (0.36)	0.12 (0.35)	0.43 (0.17)	0.36 (0.34)	0.12 (0.35)	0.38 (0.13)	0.24 (0.24)	0.0 (0.0)	0.43 (0.21)	0.38 (0.37)	0.12 (0.35)	0.45 (0.23)	0.38 (0.37)	0.12 (0.35)	0.42 (0.17)	0.29 (0.25)	0.0 (0.0)	0.44 (0.09)	0.31 (0.2)	0.0 (0.0)	0.34 (0.12)	0.16 (0.08)	0.0 (0.0)	0.48 (0.23)	0.42 (0.34)	0.12 (0.35)	0.4 (0.11)	0.27 (0.19)	0.0 (0.0)	0.48 (0.16)	0.41 (0.35)	0.12 (0.35)	0.49 (0.2)	0.39 (0.34)	0.12 (0.35)	0.49 (0.21)	0.39 (0.35)	0.12 (0.35)	0.49 (0.2)	0.39 (0.34)	0.12 (0.35)
all_datasets	proba__2	0.19 (0.03)	0.19 (0.04)	0.0 (0.0)	0.19 (0.02)	0.19 (0.04)	0.0 (0.0)	0.2 (0.01)	0.2 (0.0)	0.0 (0.0)	<b>0.67 (0.18)</b>	<b>0.79 (0.27)</b>	<b>0.25 (0.46)</b>	0.59 (0.13)	0.58 (0.27)	0.0 (0.0)	0.63 (0.22)	0.69 (0.35)	0.38 (0.52)	0.6 (0.25)	0.66 (0.36)	0.38 (0.52)	0.59 (0.2)	0.63 (0.34)	0.25 (0.46)	0.61 (0.11)	0.65 (0.27)	0.0 (0.0)	0.63 (0.22)	0.69 (0.35)	0.38 (0.52)	0.61 (0.26)	0.67 (0.34)	0.25 (0.46)	0.61 (0.2)	0.66 (0.33)	0.25 (0.46)	<b>0.66 (0.09)</b>	<b>0.81 (0.14)</b>	<b>0.12 (0.35)</b>	<b>0.74 (0.08)</b>	<b>0.92 (0.08)</b>	<b>0.38 (0.52)</b>	0.57 (0.24)	0.61 (0.35)	0.0 (0.0)	<b>0.66 (0.08)</b>	<b>0.78 (0.18)</b>	<b>0.0 (0.0)</b>	0.55 (0.15)	0.54 (0.26)	0.0 (0.0)	0.57 (0.23)	0.61 (0.33)	0.25 (0.46)	0.58 (0.24)	0.61 (0.31)	0.12 (0.35)	0.57 (0.23)	0.61 (0.33)	0.25 (0.46)
all_datasets	proba__3	0.3 (0.0)	0.3 (0.0)	0.0 (0.0)	0.3 (0.01)	0.3 (0.0)	0.0 (0.0)	0.31 (0.02)	0.31 (0.04)	0.0 (0.0)	<b>0.65 (0.1)</b>	<b>0.7 (0.26)</b>	<b>0.0 (0.0)</b>	0.63 (0.1)	0.76 (0.22)	0.0 (0.0)	0.59 (0.11)	0.68 (0.25)	0.12 (0.35)	0.57 (0.11)	0.55 (0.25)	0.12 (0.35)	0.6 (0.12)	0.64 (0.27)	0.0 (0.0)	0.63 (0.13)	0.71 (0.27)	0.12 (0.35)	0.59 (0.11)	0.66 (0.27)	0.12 (0.35)	0.59 (0.12)	0.62 (0.28)	0.0 (0.0)	0.58 (0.13)	0.63 (0.33)	0.12 (0.35)	<b>0.63 (0.11)</b>	<b>0.72 (0.29)</b>	<b>0.38 (0.52)</b>	0.64 (0.09)	0.72 (0.22)	0.12 (0.35)	0.57 (0.12)	0.54 (0.22)	0.0 (0.0)	<b>0.66 (0.09)</b>	<b>0.78 (0.28)</b>	<b>0.38 (0.52)</b>	0.59 (0.14)	0.62 (0.29)	0.12 (0.35)	0.55 (0.13)	0.57 (0.28)	0.0 (0.0)	0.56 (0.13)	0.57 (0.26)	0.0 (0.0)	0.55 (0.13)	0.57 (0.28)	0.0 (0.0)
all_datasets	proba__4	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.4 (0.0)	0.4 (0.0)	0.0 (0.0)	0.38 (0.04)	0.39 (0.04)	0.0 (0.0)	<b>0.6 (0.05)</b>	<b>0.6 (0.13)</b>	<b>0.0 (0.0)</b>	0.64 (0.13)	0.68 (0.25)	0.25 (0.46)	0.58 (0.08)	0.57 (0.24)	0.12 (0.35)	0.59 (0.12)	0.53 (0.25)	0.0 (0.0)	0.62 (0.07)	0.61 (0.18)	0.0 (0.0)	0.62 (0.12)	0.66 (0.31)	0.38 (0.52)	0.57 (0.08)	0.57 (0.24)	0.12 (0.35)	0.59 (0.1)	0.56 (0.18)	0.0 (0.0)	0.59 (0.07)	0.59 (0.24)	0.12 (0.35)	<b>0.62 (0.12)</b>	<b>0.7 (0.22)</b>	<b>0.25 (0.46)</b>	0.59 (0.06)	0.65 (0.12)	0.0 (0.0)	0.59 (0.11)	0.58 (0.28)	0.12 (0.35)	0.62 (0.11)	0.69 (0.2)	0.12 (0.35)	0.6 (0.12)	0.62 (0.3)	0.25 (0.46)	0.57 (0.11)	0.57 (0.26)	0.12 (0.35)	0.59 (0.11)	0.56 (0.22)	0.0 (0.0)	0.57 (0.11)	0.57 (0.26)	0.12 (0.35)
all_datasets	proba__5	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.0)	0.5 (0.0)	0.0 (0.0)	0.5 (0.01)	0.5 (0.0)	0.0 (0.0)	0.58 (0.13)	0.55 (0.26)	0.12 (0.35)	0.6 (0.12)	0.59 (0.27)	0.12 (0.35)	0.56 (0.09)	0.58 (0.21)	0.0 (0.0)	0.57 (0.06)	0.61 (0.17)	0.12 (0.35)	0.57 (0.1)	0.54 (0.24)	0.0 (0.0)	0.6 (0.11)	0.61 (0.26)	0.12 (0.35)	0.56 (0.09)	0.58 (0.21)	0.0 (0.0)	0.58 (0.06)	0.57 (0.21)	0.0 (0.0)	0.57 (0.1)	0.53 (0.2)	0.0 (0.0)	0.55 (0.11)	0.52 (0.27)	0.0 (0.0)	0.52 (0.07)	0.49 (0.2)	0.0 (0.0)	0.57 (0.09)	0.57 (0.17)	0.0 (0.0)	0.54 (0.1)	0.54 (0.23)	0.0 (0.0)	0.6 (0.1)	0.61 (0.24)	0.12 (0.35)	0.56 (0.08)	0.57 (0.25)	0.12 (0.35)	0.56 (0.07)	0.57 (0.2)	0.0 (0.0)	0.56 (0.08)	0.57 (0.25)	0.12 (0.35)
all_datasets	proba__6	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.6 (0.0)	0.6 (0.0)	0.0 (0.0)	0.61 (0.01)	0.6 (0.0)	0.0 (0.0)	0.53 (0.09)	0.49 (0.18)	0.0 (0.0)	0.6 (0.07)	0.65 (0.18)	0.0 (0.0)	0.6 (0.08)	0.63 (0.18)	0.0 (0.0)	0.6 (0.08)	0.65 (0.18)	0.0 (0.0)	0.6 (0.09)	0.66 (0.19)	0.12 (0.35)	0.58 (0.05)	0.62 (0.13)	0.0 (0.0)	0.6 (0.08)	0.63 (0.18)	0.0 (0.0)	0.58 (0.08)	0.57 (0.09)	0.0 (0.0)	0.6 (0.08)	0.65 (0.18)	0.0 (0.0)	0.58 (0.07)	0.62 (0.19)	0.0 (0.0)	0.51 (0.07)	0.41 (0.19)	0.0 (0.0)	0.58 (0.09)	0.59 (0.24)	0.12 (0.35)	0.56 (0.07)	0.59 (0.2)	0.0 (0.0)	0.6 (0.07)	0.61 (0.19)	0.0 (0.0)	0.61 (0.08)	0.66 (0.16)	0.0 (0.0)	0.61 (0.1)	0.63 (0.15)	0.0 (0.0)	0.61 (0.08)	0.66 (0.16)	0.0 (0.0)
all_datasets	proba__7	0.7 (0.0)	0.7 (0.0)	0.0 (0.0)	0.7 (0.0)	0.7 (0.0)	0.0 (0.0)	0.7 (0.01)	0.7 (0.0)	0.0 (0.0)	0.54 (0.15)	0.56 (0.29)	0.0 (0.0)	0.55 (0.12)	0.54 (0.23)	0.0 (0.0)	0.55 (0.18)	0.58 (0.28)	0.0 (0.0)	0.55 (0.17)	0.61 (0.29)	0.12 (0.35)	0.56 (0.18)	0.56 (0.29)	0.12 (0.35)	0.54 (0.14)	0.55 (0.29)	0.0 (0.0)	0.55 (0.18)	0.58 (0.28)	0.0 (0.0)	0.55 (0.17)	0.55 (0.28)	0.12 (0.35)	0.56 (0.18)	0.57 (0.29)	0.12 (0.35)	0.52 (0.11)	0.5 (0.29)	0.12 (0.35)	0.5 (0.09)	0.48 (0.23)	0.0 (0.0)	0.56 (0.19)	0.61 (0.32)	0.12 (0.35)	0.5 (0.11)	0.5 (0.29)	0.12 (0.35)	0.55 (0.13)	0.56 (0.27)	0.0 (0.0)	0.55 (0.17)	0.53 (0.26)	0.0 (0.0)	0.57 (0.16)	0.59 (0.29)	0.12 (0.35)	0.55 (0.17)	0.53 (0.26)	0.0 (0.0)
all_datasets	proba__8	0.82 (0.07)	0.82 (0.07)	0.12 (0.35)	0.82 (0.07)	0.82 (0.07)	0.12 (0.35)	0.8 (0.03)	0.81 (0.04)	0.0 (0.0)	0.49 (0.15)	0.48 (0.29)	0.12 (0.35)	0.54 (0.07)	0.49 (0.18)	0.0 (0.0)	0.55 (0.11)	0.47 (0.21)	0.0 (0.0)	0.53 (0.15)	0.52 (0.29)	0.0 (0.0)	0.54 (0.1)	0.54 (0.2)	0.0 (0.0)	0.54 (0.07)	0.49 (0.17)	0.0 (0.0)	0.55 (0.11)	0.47 (0.21)	0.0 (0.0)	0.51 (0.17)	0.53 (0.32)	0.12 (0.35)	0.55 (0.1)	0.55 (0.21)	0.0 (0.0)	0.48 (0.13)	0.43 (0.26)	0.0 (0.0)	0.51 (0.09)	0.45 (0.24)	0.0 (0.0)	0.54 (0.16)	0.52 (0.27)	0.12 (0.35)	0.47 (0.11)	0.38 (0.26)	0.0 (0.0)	0.56 (0.11)	0.56 (0.25)	0.0 (0.0)	0.59 (0.13)	0.64 (0.24)	0.0 (0.0)	0.55 (0.15)	0.57 (0.3)	0.12 (0.35)	0.59 (0.13)	0.64 (0.24)	0.0 (0.0)
all_datasets	proba__9	0.89 (0.04)	0.89 (0.04)	0.0 (0.0)	0.89 (0.04)	0.89 (0.04)	0.0 (0.0)	0.88 (0.05)	0.89 (0.04)	0.0 (0.0)	0.46 (0.14)	0.38 (0.25)	0.0 (0.0)	0.48 (0.14)	0.38 (0.34)	0.0 (0.0)	0.49 (0.14)	0.36 (0.24)	0.0 (0.0)	0.51 (0.18)	0.4 (0.27)	0.0 (0.0)	0.5 (0.15)	0.42 (0.32)	0.0 (0.0)	0.5 (0.11)	0.44 (0.29)	0.12 (0.35)	0.49 (0.14)	0.36 (0.24)	0.0 (0.0)	0.5 (0.18)	0.43 (0.27)	0.0 (0.0)	0.5 (0.16)	0.46 (0.36)	0.12 (0.35)	0.41 (0.07)	0.22 (0.07)	0.0 (0.0)	0.43 (0.15)	0.38 (0.28)	0.0 (0.0)	0.52 (0.19)	0.5 (0.31)	0.0 (0.0)	0.43 (0.09)	0.26 (0.1)	0.0 (0.0)	0.52 (0.15)	0.42 (0.31)	0.12 (0.35)	0.55 (0.17)	0.49 (0.32)	0.12 (0.35)	0.52 (0.18)	0.49 (0.32)	0.12 (0.35)	0.55 (0.17)	0.49 (0.32)	0.12 (0.35)
